tick,season,season_tick,total_food,agent_a_energy,agent_b_energy,agent_a_hunger,agent_b_hunger,agent_a_fear,agent_b_fear,agent_a_curiosity,agent_b_curiosity,agent_a_stress,agent_b_stress,agent_a_fatigue,agent_b_fatigue,agent_a_social,agent_b_social,agent_a_food_eaten,agent_b_food_eaten,agent_a_pathways,agent_b_pathways,agent_a_generation,agent_b_generation,distance
8100,Spring,100,2681.7,90.19,92.69,0.081,0.0,0.548,0.879,0.0,0.0,0.0,0.0,1.0,0.0,0.073,0.073,222,242,195,263,29,15,38.21
8200,Spring,200,2732.2,74.06,100.34,0.238,0.0,0.486,0.856,0.0,0.0,0.015,0.0,1.0,0.0,0.051,0.051,230,261,197,282,29,15,40.16
8300,Spring,300,2772.7,102.06,106.63,0.0,0.0,0.508,0.62,0.0,0.0,0.013,0.0,1.0,0.06,0.049,0.049,248,281,200,297,29,15,40.8
8400,Spring,400,2804.4,150.0,87.07,0.0,0.045,0.776,0.936,0.0,0.0,0.012,0.0,1.0,0.01,0.099,0.101,278,299,214,307,29,15,17.46
8500,Summer,0,2811.7,94.87,85.2,0.0,0.106,0.641,0.954,0.0,0.0,0.011,0.0,1.0,0.01,0.127,0.126,315,326,243,328,29,15,29.73
8600,Summer,100,2868.9,149.94,112.51,0.0,0.082,0.768,0.994,0.0,0.0,0.01,0.0,1.0,0.01,0.151,0.152,369,345,258,346,29,15,22.36
8700,Summer,200,2910.3,150.0,97.24,0.0,0.27,0.87,0.934,0.0,0.0,0.009,0.0,0.78,0.01,0.472,0.475,430,364,282,362,29,15,12.17
8800,Summer,300,2914.5,150.0,94.85,0.0,0.0,0.823,1.0,0.0,0.0,0.008,0.0,0.61,0.0,0.477,0.478,492,383,343,377,29,15,15.13
8900,Summer,400,2908.7,150.0,89.4,0.0,0.0,0.751,1.0,0.0,0.0,0.007,0.0,0.74,0.0,0.35,0.348,561,405,413,391,29,15,20.59
9000,Autumn,0,2911.9,150.0,63.93,0.0,0.264,0.72,0.937,0.0,0.0,0.007,0.0,0.98,0.01,0.245,0.243,630,427,482,400,29,15,21.93
9100,Autumn,100,2878.7,138.56,103.2,0.0,0.0,0.62,0.907,0.0,0.0,0.006,0.0,1.0,0.0,0.221,0.221,693,449,501,413,29,15,33.38
9200,Autumn,200,2854.3,91.8,95.64,0.063,0.0,0.588,0.936,0.0,0.0,0.005,0.0,1.0,0.0,0.145,0.145,721,467,525,431,29,15,35.11
9300,Autumn,300,2843.7,105.5,100.85,0.0,0.231,0.605,0.902,0.0,0.0,0.005,0.0,1.0,0.01,0.125,0.124,741,486,529,450,29,15,34.93
9400,Autumn,400,2811.1,149.26,104.46,0.0,0.0,0.667,0.941,0.0,0.0,0.004,0.0,1.0,0.0,0.162,0.162,805,512,555,462,29,15,29.43
9500,Winter,0,2779.5,150.0,83.65,0.0,0.0,0.808,1.0,0.0,0.0,0.004,0.0,1.0,0.0,0.349,0.35,878,531,583,476,29,15,15.3
9600,Winter,100,2648.1,150.0,86.09,0.0,0.0,0.663,0.784,0.0,0.0,0.004,0.0,1.0,0.04,0.259,0.257,963,555,633,488,29,15,29.27
9700,Winter,200,2544.4,134.04,149.95,0.0,0.0,0.444,0.465,0.0,0.0,0.003,0.0,1.0,0.14,0.164,0.163,1013,579,681,497,29,15,46.27
9800,Winter,300,2490.6,78.47,94.04,0.191,0.0,0.493,0.865,0.0,0.0,0.003,0.0,1.0,0.0,0.1,0.1,1020,588,682,501,29,15,41.15
9900,Winter,400,2421.7,147.62,111.1,0.0,0.0,0.573,0.563,0.0,0.0,0.003,0.0,1.0,0.37,0.082,0.082,1032,608,685,515,29,15,36.22
10000,Spring,0,2335.0,137.52,146.76,0.0,0.0,0.963,0.963,0.0,0.0,0.002,0.0,0.4,0.7,0.643,0.642,1056,661,708,521,29,15,3.16
