tick,agent_a_energy,agent_b_energy,agent_a_hunger,agent_b_hunger,agent_a_fear,agent_b_fear,agent_a_food_eaten,agent_b_food_eaten,agent_a_pathways,agent_b_pathways,distance
4800,29.0,73.0,0.245,0.255,0.151,0.161,563,582,195,218,71.06
4900,21.0,45.0,0.355,0.325,0.179,0.188,583,589,200,215,69.53
5000,11.0,26.0,0.405,0.315,0.228,0.212,597,600,201,217,66.04
5100,43.5,24.0,0.15,0.305,0.309,0.32,609,615,204,224,59.03
5200,11.5,28.0,0.39,0.315,0.238,0.231,622,629,207,226,65.8
5300,12.0,17.0,0.405,0.355,0.265,0.264,634,637,207,226,63.13
5400,6.87,10.0,0.456,0.395,0.251,0.258,649,646,213,227,64.35
5500,45.5,4.5,0.11,0.54,0.25,0.249,664,657,215,230,64.44
5600,19.2,24.5,0.363,0.35,0.286,0.283,683,679,219,232,60.22
5700,74.0,6.5,0.0,0.43,0.165,0.166,698,686,223,232,70.84
5800,94.0,10.5,0.0,0.42,0.414,0.424,717,697,233,232,50.25
5900,100.0,24.5,0.0,0.4,0.0,0.278,724,715,234,240,62.68
6000,86.5,28.5,0.12,0.24,0.215,0.231,736,732,232,240,66.61
6100,38.5,29.5,0.11,0.22,0.316,0.308,751,744,234,239,59.46
6200,28.5,40.5,0.24,0.1,0.333,0.325,765,755,238,240,55.87
6300,92.5,8.5,0.06,0.42,0.229,0.235,777,770,239,243,64.64
6400,24.5,91.0,0.34,0.075,0.231,0.215,792,777,241,244,68.01
6500,26.5,78.0,0.37,0.0,0.242,0.258,805,791,243,244,64.35
6600,16.5,54.5,0.4,0.16,0.312,0.295,817,800,247,246,61.22
6700,34.5,43.5,0.16,0.21,0.448,0.431,832,812,253,246,48.17
6800,10.5,21.5,0.42,0.38,0.209,0.212,845,820,258,245,66.03
6900,8.5,14.0,0.46,0.475,0.196,0.212,854,831,258,246,68.24
7000,23.0,50.0,0.275,0.055,0.248,0.264,867,851,259,253,62.2
7100,30.0,24.0,0.225,0.335,0.271,0.255,878,865,259,258,63.13
7200,28.0,22.0,0.225,0.305,0.225,0.235,893,873,259,258,65.19
7300,6.0,24.0,0.565,0.305,0.227,0.229,901,883,259,259,65.3
7400,34.0,68.5,0.315,0.06,0.312,0.328,916,897,259,259,56.85
7500,50.0,38.5,0.105,0.2,0.381,0.39,933,915,262,262,53.15
7600,69.0,79.0,0.325,0.0,0.108,0.1,946,929,262,264,77.78
7700,100.0,71.5,0.0,0.0,0.0,0.075,959,941,262,262,77.08
7800,91.0,41.5,0.075,0.09,0.271,0.288,969,959,264,265,59.03
7900,11.0,67.5,0.425,0.0,0.324,0.307,981,972,264,266,57.38
8000,81.5,62.0,0.0,0.0,0.227,0.243,998,980,265,266,62.8
8100,80.5,22.0,0.0,0.345,0.274,0.266,1006,990,265,268,63.7
8200,2.5,46.0,0.59,0.075,0.366,0.382,1021,1005,265,274,52.2
8300,9.0,38.5,0.485,0.21,0.231,0.238,1031,1015,266,274,64.4
8400,29.0,18.5,0.215,0.34,0.466,0.45,1051,1025,274,274,47.01
8500,81.0,29.5,0.0,0.27,0.282,0.293,1068,1038,281,274,61.4
8600,37.0,26.5,0.195,0.52,0.269,0.271,1080,1044,284,274,62.63
8700,21.5,98.5,0.38,0.0,0.067,0.083,1090,1060,284,274,77.1
8800,7.5,6.5,0.48,0.58,0.299,0.298,1111,1074,286,275,58.14
8900,14.0,7.5,0.425,0.48,0.279,0.276,1120,1087,286,275,61.22
9000,14.0,5.5,0.445,0.71,0.339,0.34,1133,1107,286,278,54.56
9100,36.0,62.5,0.285,0.08,0.2,0.2,1141,1121,285,279,67.94
9200,35.0,57.0,0.245,0.0,0.208,0.216,1152,1135,285,280,66.53
9300,26.0,37.0,0.235,0.295,0.458,0.442,1161,1149,284,282,45.97
9400,21.0,31.5,0.365,0.21,0.241,0.257,1168,1159,285,282,63.13
9500,32.0,95.5,0.365,0.03,0.132,0.14,1178,1172,284,283,73.11
9600,46.0,41.5,0.195,0.09,0.499,0.483,1196,1190,289,284,43.57
9700,74.0,27.5,0.0,0.27,0.317,0.308,1209,1203,293,288,58.73
9800,70.5,47.5,0.01,0.06,0.322,0.331,1222,1217,294,292,58.14
9900,46.0,29.5,0.145,0.29,0.283,0.291,1231,1225,294,297,60.21
